YEAR,MO,DY,PRECTOT,Inflow_Liters,Usage_Liters,Net_Storage,Tank_Level
2000,12,19,0.0,0.0,500,-500.0,0.0
2000,12,20,0.04,4.08,500,-495.92,0.0
2000,12,21,0.08,8.16,500,-491.84,0.0
2000,12,22,0.01,1.02,500,-498.98,0.0
2000,12,23,0.0,0.0,500,-500.0,0.0
2000,12,24,0.01,1.02,500,-498.98,0.0
2000,12,25,0.0,0.0,500,-500.0,0.0
2000,12,26,0.23,23.46,500,-476.54,0.0
2000,12,27,2.75,280.5,500,-219.5,0.0
2000,12,28,11.41,1163.82,500,663.8199999999999,663.8199999999999
2000,12,29,13.21,1347.42,500,847.4200000000001,1511.24
2000,12,30,2.4,244.79999999999998,500,-255.20000000000002,1256.04
2000,12,31,1.02,104.04,500,-395.96,860.0799999999999
2001,1,1,0.01,1.02,500,-498.98,361.0999999999999
2001,1,2,0.05,5.1,500,-494.9,0.0
2001,1,3,0.03,3.0599999999999996,500,-496.94,0.0
2001,1,4,0.0,0.0,500,-500.0,0.0
2001,1,5,0.02,2.04,500,-497.96,0.0
2001,1,6,0.24,24.479999999999997,500,-475.52,0.0
2001,1,7,0.1,10.2,500,-489.8,0.0
2001,1,8,0.02,2.04,500,-497.96,0.0
2001,1,9,0.0,0.0,500,-500.0,0.0
2001,1,10,0.0,0.0,500,-500.0,0.0
2001,1,11,0.0,0.0,500,-500.0,0.0
2001,1,12,0.0,0.0,500,-500.0,0.0
2001,1,13,0.0,0.0,500,-500.0,0.0
2001,1,14,0.0,0.0,500,-500.0,0.0
2001,1,15,0.0,0.0,500,-500.0,0.0
2001,1,16,0.0,0.0,500,-500.0,0.0
2001,1,17,0.0,0.0,500,-500.0,0.0
2001,1,18,0.0,0.0,500,-500.0,0.0
2001,1,19,0.0,0.0,500,-500.0,0.0
2001,1,20,0.0,0.0,500,-500.0,0.0
2001,1,21,0.0,0.0,500,-500.0,0.0
2001,1,22,0.0,0.0,500,-500.0,0.0
2001,1,23,0.0,0.0,500,-500.0,0.0
2001,1,24,0.0,0.0,500,-500.0,0.0
2001,1,25,0.0,0.0,500,-500.0,0.0
2001,1,26,0.0,0.0,500,-500.0,0.0
2001,1,27,0.0,0.0,500,-500.0,0.0
2001,1,28,0.0,0.0,500,-500.0,0.0
2001,1,29,0.0,0.0,500,-500.0,0.0
2001,1,30,0.0,0.0,500,-500.0,0.0
2001,1,31,0.02,2.04,500,-497.96,0.0
2001,2,1,0.03,3.0599999999999996,500,-496.94,0.0
2001,2,2,0.0,0.0,500,-500.0,0.0
2001,2,3,0.0,0.0,500,-500.0,0.0
2001,2,4,0.0,0.0,500,-500.0,0.0
2001,2,5,0.0,0.0,500,-500.0,0.0
2001,2,6,0.0,0.0,500,-500.0,0.0
2001,2,7,0.0,0.0,500,-500.0,0.0
2001,2,8,0.0,0.0,500,-500.0,0.0
2001,2,9,0.0,0.0,500,-500.0,0.0
2001,2,10,0.0,0.0,500,-500.0,0.0
2001,2,11,0.0,0.0,500,-500.0,0.0
2001,2,12,0.0,0.0,500,-500.0,0.0
2001,2,13,0.0,0.0,500,-500.0,0.0
2001,2,14,0.0,0.0,500,-500.0,0.0
2001,2,15,0.0,0.0,500,-500.0,0.0
2001,2,16,0.0,0.0,500,-500.0,0.0
2001,2,17,0.0,0.0,500,-500.0,0.0
2001,2,18,0.0,0.0,500,-500.0,0.0
2001,2,19,0.0,0.0,500,-500.0,0.0
2001,2,20,0.0,0.0,500,-500.0,0.0
2001,2,21,0.0,0.0,500,-500.0,0.0
2001,2,22,0.0,0.0,500,-500.0,0.0
2001,2,23,0.0,0.0,500,-500.0,0.0
2001,2,24,0.0,0.0,500,-500.0,0.0
2001,2,25,0.0,0.0,500,-500.0,0.0
2001,2,26,0.0,0.0,500,-500.0,0.0
2001,2,27,0.0,0.0,500,-500.0,0.0
2001,2,28,0.0,0.0,500,-500.0,0.0
2001,3,1,0.0,0.0,500,-500.0,0.0
2001,3,2,0.0,0.0,500,-500.0,0.0
2001,3,3,0.0,0.0,500,-500.0,0.0
2001,3,4,0.0,0.0,500,-500.0,0.0
2001,3,5,0.0,0.0,500,-500.0,0.0
2001,3,6,0.0,0.0,500,-500.0,0.0
2001,3,7,0.01,1.02,500,-498.98,0.0
2001,3,8,0.0,0.0,500,-500.0,0.0
2001,3,9,0.0,0.0,500,-500.0,0.0
2001,3,10,0.0,0.0,500,-500.0,0.0
2001,3,11,0.0,0.0,500,-500.0,0.0
2001,3,12,0.01,1.02,500,-498.98,0.0
2001,3,13,0.02,2.04,500,-497.96,0.0
2001,3,14,0.0,0.0,500,-500.0,0.0
2001,3,15,0.0,0.0,500,-500.0,0.0
2001,3,16,0.0,0.0,500,-500.0,0.0
2001,3,17,0.0,0.0,500,-500.0,0.0
2001,3,18,0.0,0.0,500,-500.0,0.0
2001,3,19,0.0,0.0,500,-500.0,0.0
2001,3,20,0.0,0.0,500,-500.0,0.0
2001,3,21,0.0,0.0,500,-500.0,0.0
2001,3,22,0.04,4.08,500,-495.92,0.0
2001,3,23,0.0,0.0,500,-500.0,0.0
2001,3,24,0.0,0.0,500,-500.0,0.0
2001,3,25,0.0,0.0,500,-500.0,0.0
2001,3,26,0.0,0.0,500,-500.0,0.0
2001,3,27,0.0,0.0,500,-500.0,0.0
2001,3,28,0.0,0.0,500,-500.0,0.0
2001,3,29,0.0,0.0,500,-500.0,0.0
2001,3,30,0.0,0.0,500,-500.0,0.0
2001,3,31,0.0,0.0,500,-500.0,0.0
2001,4,1,0.0,0.0,500,-500.0,0.0
2001,4,2,0.0,0.0,500,-500.0,0.0
2001,4,3,0.0,0.0,500,-500.0,0.0
2001,4,4,0.0,0.0,500,-500.0,0.0
2001,4,5,0.0,0.0,500,-500.0,0.0
2001,4,6,0.01,1.02,500,-498.98,0.0
2001,4,7,0.01,1.02,500,-498.98,0.0
2001,4,8,0.18,18.36,500,-481.64,0.0
2001,4,9,0.69,70.38,500,-429.62,0.0
2001,4,10,5.66,577.32,500,77.32000000000005,77.32000000000005
2001,4,11,18.81,1918.62,500,1418.62,1495.94
2001,4,12,15.45,1575.8999999999999,500,1075.8999999999999,2571.84
2001,4,13,23.41,2387.8199999999997,500,1887.8199999999997,4459.66
2001,4,14,17.27,1761.54,500,1261.54,5000.0
2001,4,15,3.36,342.71999999999997,500,-157.28000000000003,4842.72
2001,4,16,1.47,149.94,500,-350.06,4492.66
2001,4,17,1.55,158.1,500,-341.9,4150.76
2001,4,18,2.1,214.2,500,-285.8,3864.96
2001,4,19,0.86,87.72,500,-412.28,3452.6800000000003
2001,4,20,0.19,19.38,500,-480.62,2972.0600000000004
2001,4,21,0.05,5.1,500,-494.9,2477.1600000000003
2001,4,22,0.0,0.0,500,-500.0,1977.1600000000003
2001,4,23,0.0,0.0,500,-500.0,1477.1600000000003
2001,4,24,0.0,0.0,500,-500.0,977.1600000000003
2001,4,25,0.0,0.0,500,-500.0,477.1600000000003
2001,4,26,0.0,0.0,500,-500.0,0.0
2001,4,27,0.01,1.02,500,-498.98,0.0
